code,name,lbc,score,main_yi,mainline,strong,today_top,all_concepts
600381,*ST春天,9,58.0,0.02,白酒概念,白酒概念,,白酒概念;ST板块;西部大开发
300083,创世纪,1,54.6,4.31,人工智能,消费电子概念/军工/机器人概念/华为概念/储能,军工/人工智能,工业母机;无线充电;新型工业化;人形机器人;智能穿戴;苹果概念;消费电子概念;飞行汽车(eVTOL);比亚迪概念;5G;小米概念;军工;高端装备;新能源汽车;一
000609,*ST中迪,9,42.0,0.0,-,,,
603131,上海沪工,1,39.7,0.37,长三角一体化,商业航天/军工/机器人概念/长三角一体化,军工,卫星导航;商业航天;军工;高端装备;海工装备;工业母机;机器人概念;专精特新;新型工业化;新能源汽车;长三角一体化;人民币贬值受益;沪股通
002685,华东重机,1,38.6,2.3,芯片概念,军工/芯片概念,军工/芯片概念,高端装备;新型工业化;专精特新;军工;传感器;一带一路;芯片概念;DeepSeek概念;信创;航运概念;深股通;股权转让(并购重组);融资融券
600246,万通发展,1,35.5,2.26,芯片概念,芯片概念/商业航天,芯片概念,存储芯片;卫星导航;毫米波雷达;芯片概念;5G;商业航天;数字经济;创投;京津冀一体化;物业管理;沪股通;融资融券
002181,粤传媒,1,33.0,1.01,人工智能,人工智能/粤港澳大湾区,人工智能,短剧游戏;文化传媒概念;足球概念;网红经济;IP经济(谷子经济);虚拟数字人;广东自贸区;AIGC概念;体育产业;旅游概念;职业教育;AI应用;智慧政务;独角兽
603095,越剑智能,4,32.0,0.0,-,,,
603360,百傲化学,1,31.2,0.1,芯片概念,机器人概念/芯片概念,芯片概念,机器人概念;人民币贬值受益;芯片概念;存储芯片;光刻机;消毒剂;沪股通
600158,中体产业,1,28.2,0.59,数据中心,数据中心,数据中心,赛马概念;足球概念;冰雪产业;体育产业;旅游概念;文化传媒概念;职业教育;NFT概念;京津冀一体化;国企改革;数字经济;在线教育;数据中心;沪股通;融资融券;中
600379,宝光股份,3,24.0,0.0,-,,,
603399,永杉锂业,3,24.0,0.0,-,,,
000402,金融街,2,23.6,0.31,-,装配式建筑,装配式建筑,特色小镇;物业管理;装配式建筑;参股券商;京津冀一体化;国企改革;碳交易;碳中和;证金持股;深股通;融资融券
000833,粤桂股份,1,22.7,1.37,-,锂电池概念/粤港澳大湾区/2025年报预增,,化肥;磷化工;土地流转;锂电池概念;农业种植;西部大开发;2026一季报预增;广东自贸区;国企改革;TOPCON电池;乡村振兴;光伏概念;粤港澳大湾区;2025
603698,航天工程,1,22.3,1.65,-,军工/氢能源,军工,军民融合;军工;核电;高端装备;氢能源;碳中和;国企改革;煤化工概念;沪股通;融资融券
300885,海昌新材,1,22.0,0.99,-,商业航天/机器人概念/消费电子概念,,卫星导航;商业航天;减速器;低空经济;人形机器人;机器人概念;新能源汽车;专精特新;海峡两岸;消费电子概念;充电桩;人民币贬值受益;一带一路;深股通;融资融券
600400,红豆股份,1,21.1,1.07,-,机器人概念/军工,军工,养老概念;参股银行;独角兽概念;互联网金融;工业互联网;机器人概念;军工;沪股通;融资融券
605123,派克新材,1,19.9,0.44,-,商业航天/军工,军工,航空发动机;大飞机;商业航天;卫星导航;可控核聚变;军工;核电;海工装备;专精特新;风电;沪股通;融资融券
600433,冠豪高新,1,19.7,0.33,-,氢能源/军工,军工,可降解塑料;烟草;国企改革;氢能源;燃料电池;军工;央企国企改革;融资融券;沪股通
000790,华神科技,1,19.1,0.06,-,装配式建筑/锂电池概念,装配式建筑,流感;医药电商;合成生物;创新药;医美概念;眼科医疗;装配式建筑;医疗器械概念;西部大开发;氟化工概念;锂电池概念;融资融券
603717,天域生物,1,19.0,0.01,-,PPP概念/锂电池概念,PPP概念,乡村振兴;雄安新区;PPP概念;生态农业;猪肉;特色小镇;西部大开发;绿色电力;锂电池概念;氟化工概念;钠离子电池
000980,众泰汽车,2,18.5,1.23,-,,,百度概念;新能源汽车;中俄贸易概念;一带一路;深股通;融资融券
600714,金瑞矿业,2,17.8,0.89,-,,,小金属概念;西部大开发;国企改革;央企国企改革
000567,海德股份,2,17.1,0.55,-,,,海南自贸区;化债概念(AMC概念);钒电池;融资融券;深股通
600052,东望时代,1,16.6,0.3,-,储能/锂电池概念,,文化传媒概念;体育产业;国企改革;储能;锂电池概念
001316,润贝航科,1,16.4,0.19,-,商业航天/2025年报预增,,大飞机;航空发动机;商业航天;低空经济;海峡两岸;AI眼镜;2025年报预增;消毒剂
600476,*ST湘邮,1,16.1,0.03,人工智能/数据中心,人工智能/数据中心,人工智能/数据中心,时空大数据;跨境电商;安防;智能物流;车联网(车路协同);数据安全;数据要素;智慧政务;移动支付;数字乡村;数字货币;人工智能;互联网金融;乡村振兴;数字经济;
002842,翔鹭钨业,2,16.0,0.0,-,,,
002805,丰元股份,2,16.0,0.0,-,,,
605299,舒华体育,2,16.0,0.0,-,,,
605099,共创草坪,2,16.0,0.0,-,,,
300632,光莆股份,2,16.0,0.0,-,,,
002645,华宏科技,2,16.0,0.0,-,,,
603937,丽岛新材,2,16.0,0.0,-,,,
002192,融捷股份,2,16.0,0.0,-,,,
688531,日联科技,2,16.0,0.0,-,,,
920125,鸿仕达,2,16.0,0.0,-,,,
603828,*ST利达,1,15.6,0.28,新型城镇化,PPP概念/光伏建筑一体化/新型城镇化/装配式建筑,PPP概念/新型城镇化/装配式建筑,ST板块;PPP概念;光伏建筑一体化;新型城镇化;装配式建筑;建筑节能
002785,万里石,1,14.0,1.0,-,锂电池概念,,盐湖提锂;小金属概念;锂电池概念;福建自贸区;海峡两岸;一带一路;核电;中俄贸易概念;俄乌冲突概念;深股通
603726,朗迪集团,1,12.4,0.21,-,机器人概念,,空气能热泵;家用电器;先进封装;机器人概念;创投
000007,全新好,1,12.2,0.11,-,粤港澳大湾区,,粤港澳大湾区;物业管理
002235,安妮股份,1,8.9,0.43,-,,,知识产权保护;数据确权;NFT概念;Web3.0;文化传媒概念;体育产业;区块链;数据要素;网络安全;独角兽概念;蚂蚁集团概念;海峡两岸;福建自贸区;物业管理;
601588,北辰实业,1,8.7,0.37,-,,,物业管理;京津冀一体化;养老概念;国企改革;数字经济;回购增持再贷款概念;小米概念;沪股通;融资融券
601086,国芳集团,1,8.7,0.33,-,,,IP经济(谷子经济);参股券商;家用电器;西部大开发;沪股通
603711,香飘飘,1,8.4,0.19,-,,,共同富裕示范区;互联网金融;创投;沪股通
002763,汇洁股份,1,8.3,0.14,-,,,跨境电商
001215,千味央厨,1,8.1,0.03,-,,,预制菜;三胎概念;海峡两岸;回购增持再贷款概念
605222,起帆电缆,1,8.0,0.0,-,,,
002240,盛新锂能,1,8.0,0.0,-,,,
603897,长城科技,1,8.0,0.0,-,,,
002149,西部材料,1,8.0,0.0,-,,,
001268,联合精密,1,8.0,0.0,-,,,
600208,衢州发展,1,8.0,0.0,-,,,
002990,盛视科技,1,8.0,0.0,-,,,
001218,丽臣实业,1,8.0,0.0,-,,,
605376,博迁新材,1,8.0,0.0,-,,,
688155,先惠技术,1,8.0,0.0,-,,,
000783,长江证券,1,8.0,0.0,-,,,
000553,安道麦A,1,8.0,0.0,-,,,
688699,明微电子,1,8.0,0.0,-,,,
002453,华软科技,1,8.0,0.02,-,,,光刻胶;深股通;融资融券
002591,恒大高新,1,8.0,0.0,-,,,
603119,浙江荣泰,1,8.0,0.0,-,,,
603178,圣龙股份,1,8.0,0.0,-,,,
002977,*ST天箭,1,8.0,0.01,第三代半导体,商业航天/军工/第三代半导体,军工/第三代半导体,军工信息化;卫星导航;商业航天;军工;ST板块;西部大开发;第三代半导体
002870,香山股份,1,8.0,0.0,-,,,
600540,新赛股份,1,8.0,0.0,-,,,
601106,中国一重,1,8.0,0.0,-,,,
603030,全筑股份,1,8.0,0.0,-,,,
603045,福达合金,1,8.0,0.0,-,,,
002640,跨境通,1,8.0,0.0,-,,,
600322,津投城开,1,8.0,0.0,-,,,
603190,亚通精工,1,8.0,0.0,-,,,
603375,盛景微,1,8.0,0.0,-,,,
600730,*ST高科,2,5.1,0.03,人工智能,人工智能,人工智能,职业教育;物业管理;化债概念(AMC概念);人工智能;在线教育;创投;AI应用;DeepSeek概念;信创;参股券商;国企改革;ST板块;股权转让(并购重组)
603272,*ST联翔,4,2.0,0.0,-,,,
002289,*ST宇顺,4,2.0,0.0,-,,,
603559,ST通脉,1,-3.0,0.01,数据中心,数据中心,数据中心,ST板块;时空大数据;5G;数据中心;云计算
603843,*ST正平,3,-6.0,0.0,-,,,
000838,*ST发展,3,-6.0,0.0,-,,,
002634,*ST棒杰,2,-14.0,0.0,-,,,
600624,ST复华,1,-21.9,0.07,-,,,肝炎概念;仿制药一致性评价;物业管理;创投;数字经济;ST板块;国企改革;量子科技
002207,*ST准油,1,-22.0,0.0,-,,,
603398,*ST沐邦,1,-22.0,0.0,-,,,
001270,*ST铖昌,1,-22.0,0.0,-,,,
002856,*ST美芝,1,-22.0,0.0,-,,,
603580,*ST艾艾,1,-22.0,0.0,-,,,
603389,*ST亚振,1,-22.0,0.0,-,,,
