序号,代码,名称,市场代码简称,最新价(元) 2026.04.30,涨跌幅(%) 2026.04.30,涨停 2026.04.30,股票简称,首板 2026.04.30,概念,连续涨停天数(天) 2026.04.30,涨停次数(次) 2026.04.28 - 2026.04.30,成交额(元) 2026.04.30,量比 2026.04.30,主力净额(元) 2026.04.30,区间涨跌幅(%) 2026.04.24 - 2026.04.30,流通市值(元) 2026.04.30,涨停首次封板时间 2026.04.30,涨停封单额(元) 2026.04.30,涨停封单量(股) 2026.04.30,东财行业总分类,涨跌额(元) 2026.04.30,最高价(元) 2026.04.30,最低价(元) 2026.04.30,换手率(%) 2026.04.30,成交量(股) 2026.04.30,市盈率(动)(倍) 2026.04.30,市净率(倍) 2026.04.30,总市值(元) 2026.04.30,CHOICE_INNER_CODE,CHG<70>{2026-04-30},IN_OPTIONAL
11,000783,长江证券,SZ,7.99,10.06,涨停,长江证券,首板,中盘股、融资融券、PPP模式、参股期货、深股通、昨日首板、中盘成长、中证500、参股新三板、券商概念、标准普尔、深成500、最近多板、东方财富热股、互联网金融、富时罗素、2025年报预增、MSCI中国、破增发价股,1,1,23.55亿,6.20,6.24亿,10.97,441.85亿,09:37:39,8542.92万,1069.20万,非银金融-证券Ⅱ-证券Ⅲ,0.730,7.99,7.80,5.36,2.96亿,7.43,1.1996,441.85亿,1000000416,10.06,False
12,002763,汇洁股份,SZ,9.41,10.06,涨停,汇洁股份,首板,昨日高振幅、近期新高、昨日首板、深圳特区、最近多板、东方财富热股、电商概念、跨境电商、服装、化妆品概念、百日新高 、网红经济、婴童概念,1,1,2.16亿,2.08,3670.53万,13.78,28.57亿,09:53:06,5238.60万,556.71万,纺织服饰-服装家纺-非运动服装,0.860,9.41,8.86,7.67,2328.10万,10.51,2.0412,38.57亿,1000310083,10.06,False
13,600540,新赛股份,SH,5.58,10.06,涨停,新赛股份,首板,西部大开发、乡村振兴、昨日高振幅、新疆振兴、昨日首板、新能源、最近多板、东方财富热股、农业种植、土地流转、央国企改革、统一大市场、建筑节能、粮食概念、风能、冷链物流,1,1,2.60亿,2.54,5051.31万,14.34,32.44亿,09:37:59,2405.93万,431.17万,农林牧渔-种植业-其他种植业,0.510,5.58,5.21,8.10,4710.92万,19.39,8.4304,32.44亿,1000001754,10.06,False
14,600246,万通发展,SH,11.28,10.05,涨停,万通发展,首板,国产芯片、5G概念、低空经济、融资融券、昨日高振幅、数字经济、沪股通、商业航天、存储芯片、最近多板、通信技术、东方财富热股、创投、小盘股、京津冀、卫星导航、京津冀一体化、毫米波概念、卫星互联网,1,1,18.12亿,1.70,3.35亿,12.46,213.24亿,10:17:50,5838.64万,517.61万,房地产-房地产开发-住宅开发,1.030,11.28,10.31,8.67,1.64亿,-48.80,4.7979,219.17亿,1000001812,10.05,False
15,600158,中体产业,SH,11.85,10.03,涨停,中体产业,首板,彩票概念、首发经济、职业教育、融资融券、数字经济、昨日首板、体育产业、足球概念、沪股通、旅游概念、数据中心、最近多板、东方财富热股、冰雪经济、京津冀一体化、央国企改革、NFT概念、在线教育、中字头、文娱消费,1,1,7.96亿,1.12,2.07亿,11.16,113.70亿,09:31:32,6859.44万,578.86万,社会服务-体育Ⅱ-体育Ⅲ,1.080,11.85,11.54,7.03,6743.93万,-495.84,4.7381,113.70亿,1000001299,10.03,False
16,002235,安妮股份,SZ,11.20,10.02,涨停,安妮股份,首板,区块链、数字经济、昨日高振幅、最近多板、东方财富热股、昨日高换手、独角兽、蚂蚁概念、数据要素、彩票概念、福建自贸区、融资融券、昨日首板、体育产业、AI反诈、知识产权、网络安全、Web3.0、数据确权、造纸印刷、比亚迪概念、NFT概念、海峡两岸、文娱消费、大数据,1,1,11.71亿,2.57,2.45亿,17.77,62.00亿,09:45:42,9754.22万,870.91万,轻工制造-造纸-特种纸,1.020,11.20,10.21,19.15,1.06亿,-2223.46,8.8985,64.91亿,1000007655,10.02,False
17,002989,中天精装,SZ,29.21,10.02,涨停,中天精装,首板,国产芯片、粤港澳大湾区、昨日高振幅、央国企改革、深股通、转债标的、人工智能、深圳特区、最近多板、新型城镇化,1,2,2.56亿,1.83,5611.95万,16.33,53.55亿,13:27:15,7089.09万,242.69万,建筑装饰-装修装饰Ⅱ-装修装饰Ⅲ,2.660,29.21,27.55,4.91,899.30万,-164.27,4.2257,58.89亿,1000877426,10.02,False
18,603190,亚通精工,SH,28.33,10.02,涨停,亚通精工,首板,汽车拆解、汽车一体化压铸、近期新高、昨日首板、新能源车、无人驾驶、机器人概念、最近多板、特斯拉概念,1,1,1.52亿,4.55,3117.82万,11.89,11.65亿,09:31:47,1064.07万,37.56万,汽车-汽车零部件-其他汽车零部件,2.580,28.33,27.50,13.09,538.30万,17.66,1.5673,35.28亿,1002686329,10.02,False
19,603711,香飘飘,SH,14.28,10.02,涨停,香飘飘,首板,创投、共同富裕示范区、互联网金融、饮料制造、近期新高、昨日首板、2025年报预减、沪股通、标准普尔、最近多板,1,1,1.99亿,6.79,5610.30万,15.35,58.96亿,09:40:46,5414.26万,379.15万,食品饮料-饮料乳品-软饮料,1.300,14.28,13.70,3.40,1405.80万,15.78,1.6467,58.96亿,1000576724,10.02,False
20,000628,高新发展,SZ,66.18,10.01,涨停,高新发展,首板,国产芯片、PPP模式、西部大开发、参股期货、昨日高振幅、新能源车、深成500、工程建设、最近多板、东方财富热股、创投、成渝特区、央国企改革、百日新高 、2025年报预增、物联网、新型城镇化、数据要素、智慧政务、数字孪生、融资融券、深股通、近期新高、虚拟电厂、昨日首板、智慧城市、小盘股、微利股、汽车芯片、小盘成长,1,1,11.72亿,1.11,2.23亿,4.50,127.22亿,10:51:45,1.07亿,161.13万,建筑装饰-房屋建设Ⅱ-房屋建设Ⅲ,6.020,66.18,57.90,9.70,1864.74万,3256.25,10.6009,233.14亿,1000004186,10.01,False
21,002181,粤 传 媒,SZ,16.49,10.01,涨停,粤传媒,首板,粤港澳大湾区、职业教育、昨日高振幅、数字经济、足球概念、短剧互动游戏、最近多板、粤港自贸、东方财富热股、创投、互联网金融、AI应用、央国企改革、百日新高 、广东自贸区、独角兽、人工智能、网红经济、智慧政务、彩票概念、融资融券、深股通、近期新高、AIGC概念、体育产业、旅游概念、参股券商、电商概念、虚拟数字人、谷子经济、文娱消费,1,1,12.02亿,0.81,1.49亿,25.69,187.09亿,09:52:45,1.16亿,701.40万,传媒-出版-大众出版,1.500,16.49,15.08,6.64,7531.94万,273.33,4.5025,191.46亿,1000002296,10.01,False
22,002870,香山股份,SZ,39.58,10.01,涨停,香山股份,首板,国产芯片、昨日高振幅、高压快充、数字经济、贬值受益、新能源车、最近多板、长安汽车概念、智能穿戴、跨境电商、信创、人工智能、小鹏汇天、机器人概念、飞行汽车(eVTOL)、低空经济、华为汽车、充电桩、昨日首板、智能座舱、三胎概念、婴童用品、人形机器人、比亚迪概念、汽车电子、特斯拉概念,1,1,4.06亿,4.74,7744.02万,7.20,51.04亿,11:16:03,7128.36万,180.10万,汽车-汽车零部件-汽车电子电气系统,3.600,39.58,36.22,8.13,1048.03万,-124.80,3.1947,52.28亿,1000495831,10.01,False
23,002929,润建股份,SZ,59.68,10.01,涨停,润建股份,首板,区块链、多模态AI、西部大开发、乡村振兴、AI智能体、东方财富热股、电力物联网、华为昇腾、边缘计算、AI应用、阿里概念、机器人概念、数据要素、中越经济一体化、军工、空间计算、融资融券、低空经济、昨日首板、无人机、数据中心、光伏概念、智慧灯杆、华为数字能源、智能电网、大数据、5G概念、东数西算、昨日高振幅、元宇宙概念、工业互联、数字乡村、标准普尔、华为概念、最近多板、通信技术、跨境电商、信创、储能概念、算力租赁、百度概念、DeepSeek概念、人工智能、混合现实、电网概念、云计算、数据安全、雄安新区、数字孪生、充电桩、深股通、算力概念、虚拟机器人、虚拟电厂、虚拟现实、2025年报预减、智慧城市、新能源、云办公、小盘股、一带一路、虚拟数字人、中欧经济一体化、阿里系算力、风能,1,1,17.64亿,2.09,1.22亿,4.48,125.66亿,14:40:15,8274.12万,138.64万,通信-通信服务-通信工程及服务,5.430,59.68,55.66,14.34,3019.80万,336.34,2.6744,169.54亿,1000734417,10.01,False
24,603131,上海沪工,SH,22.52,10.01,涨停,上海沪工,首板,军工、专精特新、工业母机、海工装备、昨日高振幅、昨日首板、贬值受益、新能源车、商业航天、沪股通、新型工业化、军民融合、最近多板、东方财富热股、卫星导航、一带一路、高端装备、长江三角、机器人概念、卫星互联网,1,1,3.24亿,1.92,1.30亿,6.93,75.87亿,10:29:26,1.58亿,700.61万,机械设备-通用设备-其他通用设备,2.050,22.52,20.43,4.40,1483.14万,161.17,4.5950,75.87亿,1000316527,10.01,False
25,603178,圣龙股份,SH,19.46,10.01,涨停,圣龙股份,首板,飞行汽车(eVTOL)、融资融券、低空经济、共同富裕示范区、华为汽车、昨日高振幅、数字经济、昨日首板、新能源车、沪股通、最近多板、轮毂电机、长安汽车概念、东方财富热股、比亚迪概念、无人驾驶、汽车热管理、减速器、机器人概念,1,1,4.58亿,0.75,1.42亿,1.99,46.01亿,09:56:53,4455.95万,228.98万,汽车-汽车零部件-底盘与发动机系统,1.770,19.46,17.40,10.26,2426.27万,60.93,4.0191,46.01亿,1000472468,10.01,False
26,603698,航天工程,SH,43.97,10.01,涨停,航天工程,首板,军工、融资融券、昨日高振幅、昨日首板、沪股通、节能环保、碳交易、军民融合、最近多板、东方财富热股、小盘股、氢能源、核能核电、工业气体、煤化工概念、央国企改革、高端装备、碳中和,1,1,20.76亿,1.35,3.86亿,2.02,235.67亿,09:54:09,6625.40万,150.68万,机械设备-专用设备-能源及重型设备,4.000,43.97,40.24,9.05,4851.85万,143.83,6.6957,235.67亿,1000305470,10.01,False
27,605222,起帆电缆,SH,36.37,10.01,涨停,起帆电缆,首板,军工、大飞机、海工装备、昨日高振幅、充电桩、昨日首板、转债标的、沪股通、商业航天、特高压、最近多板、数据中心、东方财富热股、光伏概念、核能核电、可控核聚变、海底电缆、风能、机器人概念、柔性直流输电、特斯拉概念,1,1,7.28亿,0.93,9660.00万,9.32,150.17亿,13:41:13,4900.49万,134.74万,电力设备-电网设备-线缆部件及其他,3.310,36.37,32.76,5.10,2106.03万,39.38,3.1906,150.17亿,1001867282,10.01,False
28,000007,全新好,SZ,15.51,10.00,涨停,全新好,首板,粤港澳大湾区、昨日高振幅、百日新高 、近期新高、昨日首板、2025年报预减、深圳特区、最近多板,1,1,1.73亿,1.72,2390.39万,13.38,53.73亿,13:32:33,4057.26万,261.59万,商贸零售-一般零售-商业物业经营,1.410,15.51,14.08,3.35,1159.43万,-618.86,30.0036,53.73亿,1000001643,10.00,False
29,000553,安道麦A,SZ,6.82,10.00,涨停,安道麦A,首板,AB股、融资融券、深股通、昨日首板、贬值受益、标准普尔、草甘膦、小盘价值、最近多板、小盘股、农药兽药、央国企改革、富时罗素、湖北三资改革、破增发价股,1,1,8222.32万,1.53,1822.02万,11.99,148.48亿,09:25:00,1841.89万,270.07万,基础化工-农化制品-农药,0.620,6.82,6.82,0.55,1205.62万,6.98,0.8869,158.89亿,1000002318,10.00,False
30,001215,千味央厨,SZ,46.86,10.00,涨停,千味央厨,首板,三胎概念、味蕾经济、两岸合作、昨日高振幅、昨日首板、海峡两岸、预制菜概念、最近多板,1,1,4.35亿,1.02,3466.35万,7.97,45.41亿,14:22:24,7835.93万,167.22万,食品饮料-食品加工-预加工食品,4.260,46.86,41.80,10.10,978.54万,50.36,2.4494,45.53亿,1002281110,10.00,False
31,001316,润贝航科,SZ,51.90,10.00,涨停,润贝航科,首板,大飞机、航空发动机、飞行汽车(eVTOL)、低空经济、AI眼镜、昨日首板、关键材料、商业航天、最近多板、运营维修、消毒剂、石油加工贸易、海峡两岸、2025年报预增,1,1,1.43亿,1.24,4040.85万,3.41,57.76亿,09:30:36,9467.08万,182.41万,石油石化-炼化及贸易-油品石化贸易,4.720,51.90,50.58,2.48,276.28万,24.64,4.3801,59.74亿,1002686340,10.00,False
32,002158,汉钟精机,SZ,27.61,10.00,涨停,汉钟精机,首板,国产芯片、专精特新、两岸合作、昨日高振幅、新能源车、燃料电池概念、工业互联、第三代半导体、节能环保、最近多板、电池技术、富时罗素、雄安新区、融资融券、深股通、昨日首板、磁悬浮压缩机、半导体概念、数据中心、光伏概念、小盘股、氢能源、地热能、空气能热泵、海峡两岸、长江三角、冷链物流,1,1,4.10亿,2.17,9239.69万,7.39,147.32亿,13:32:36,1.06亿,384.13万,机械设备-通用设备-制冷空调设备,2.510,27.61,25.03,2.89,1539.90万,30.36,3.3095,147.64亿,1000007697,10.00,False
33,002453,华软科技,SZ,5.61,10.00,涨停,华软科技,首板,融资融券、昨日高振幅、深股通、昨日首板、光刻机(胶)、最近多板、光引发剂,1,1,1.08亿,1.03,4390.10万,16.15,33.81亿,09:33:48,5689.66万,1014.20万,基础化工-化学制品-其他化学制品,0.510,5.61,5.15,3.23,1949.31万,-29.75,6.1080,45.57亿,1000007979,10.00,False
34,002591,恒大高新,SZ,8.36,10.00,涨停,恒大高新,首板,钠离子电池、微盘股、专精特新、垃圾分类、3D打印、节能环保、华为概念、军民融合、最近多板、东方财富热股、创投、电池技术、腾讯概念、固态电池、拼多多概念、百度概念、阿里概念、破增发价股、数据要素、军工、算力概念、近期新高、噪声防治、昨日首板、绿色电力、超超临界发电、智慧城市、互联网服务、光伏概念、氢能源、锂电池概念、抖音概念(字节概念),1,1,1.79亿,1.87,3876.03万,22.22,18.69亿,09:25:00,3136.34万,375.16万,基础化工-化学制品-其他化学制品,0.760,8.36,8.06,9.62,2149.79万,100.92,3.9233,25.10亿,1000007966,10.00,False
35,002785,万里石,SZ,51.16,10.00,涨停,万里石,首板,福建自贸区、昨日高振幅、深股通、近期新高、俄乌冲突概念、养老金、最近多板、核能核电、历史新高 、锂电池概念、盐湖提锂、一带一路、百日新高 、中俄贸易概念、微利股、海峡两岸、小金属概念,1,1,11.76亿,2.05,5369.26万,23.81,98.99亿,10:28:00,949.53万,18.56万,建筑材料-装修建材-其他建材Ⅲ,4.650,51.16,47.30,12.14,2349.71万,4824.20,14.5784,115.94亿,1000323784,10.00,False
36,600433,冠豪高新,SH,4.84,10.00,涨停,冠豪高新,首板,军工、彩票概念、融资融券、烟草、昨日高振幅、近期新高、沪股通、碳交易、最近多板、东方财富热股、氢能源、造纸印刷、央国企改革、百日新高 、降解塑料,1,1,8.12亿,1.12,1.55亿,23.47,84.71亿,09:57:04,4070.47万,841.01万,轻工制造-造纸-特种纸,0.440,4.84,4.33,9.82,1.72亿,11.76,1.9199,84.71亿,1000001718,10.00,False
37,603119,浙江荣泰,SH,82.51,10.00,涨停,浙江荣泰,首板,专精特新、中盘股、融资融券、共同富裕示范区、昨日高振幅、昨日首板、贬值受益、新能源车、中盘成长、沪股通、宁德时代概念、最近多板、东方财富热股、人形机器人、一带一路、无人驾驶、汽车热管理、MSCI中国、减速器、长江三角、机器人概念、特斯拉概念,1,1,18.55亿,1.86,3.76亿,6.09,168.22亿,10:01:31,6153.84万,74.58万,汽车-汽车零部件-其他汽车零部件,7.500,82.51,76.20,11.23,2290.53万,104.51,14.2302,300.12亿,1003103841,10.00,False
38,603726,朗迪集团,SH,24.85,10.00,涨停,朗迪集团,首板,创投、人形机器人、昨日高振幅、空气能热泵、半导体概念、机器人概念、先进封装、最近多板,1,1,1.91亿,1.28,3317.35万,6.88,45.90亿,09:47:01,8678.86万,349.25万,家用电器-家电零部件Ⅱ-家电零部件Ⅲ,2.260,24.85,23.15,4.22,779.01万,13.19,3.0840,46.13亿,1000305972,10.00,False
39,603897,长城科技,SH,52.36,10.00,涨停,长城科技,首板,融资融券、昨日高振幅、昨日首板、新能源车、高股息精选、工业互联、沪股通、标准普尔、价值股、最近多板、一带一路、比亚迪概念、机器人概念,1,1,5.14亿,1.11,1.14亿,1.00,108.09亿,13:03:12,4710.31万,89.96万,电力设备-电网设备-线缆部件及其他,4.760,52.36,47.80,4.94,1019.22万,60.58,4.2627,108.09亿,1000944163,10.00,False
40,605123,派克新材,SH,106.77,10.00,涨停,派克新材,首板,军工、专精特新、大飞机、环锻、航空发动机、融资融券、海工装备、昨日高振幅、昨日首板、蓝箭航天、商业航天、沪股通、最近多板、东方财富热股、核能核电、可控核聚变、卫星导航、中科宇航、风能、破增发价股,1,1,5.60亿,2.14,1.08亿,3.82,129.37亿,09:55:25,4560.20万,42.71万,国防军工-航空装备Ⅱ-航空装备Ⅲ,9.710,106.77,99.91,4.39,531.48万,37.75,2.7968,129.37亿,1001881515,10.00,False
41,605376,博迁新材,SH,131.58,10.00,涨停,博迁新材,首板,专精特新、融资融券、昨日高振幅、近期新高、昨日首板、贬值受益、3D打印、沪股通、硅能源、最近多板、金属镍、小盘股、电池技术、光伏概念、新材料、历史新高 、锂电池概念、百日新高 、超级电容、小金属概念、2025年报预增、MLCC、小盘成长,1,1,21.25亿,1.36,2014.37万,14.22,344.21亿,11:26:57,1555.28万,11.82万,有色金属-金属新材料-其他金属新材料,11.960,131.58,119.70,6.27,1641.31万,120.14,19.5542,344.21亿,1001898941,10.00,False
42,000066,中国长城,SZ,19.82,9.99,涨停,中国长城,首板,国产芯片、钠离子电池、中盘股、区块链、海工装备、数字经济、AIPC、CPU、深圳特区、深成500、交换机、东方财富热股、中国AI 50、国产操作系统、中字头、富时罗素、互联医疗、华为鲲鹏、军工、融资融券、液冷概念、昨日首板、商业航天、网络安全、华为系算力、数据中心、卫星导航、智能电网、大数据、北斗导航、粤港澳大湾区、数据中心液冷、5G概念、东数西算、车联网(车路云)、昨日高振幅、标准普尔、华为概念、军民融合、最近多板、通信技术、电池技术、消费电子概念、信创、央国企改革、百日新高 、百度概念、DeepSeek概念、人工智能、MSCI中国、量子科技、数据安全、充电桩、深股通、近期新高、智慧城市、参股券商、锂电池概念、中特估、汽车电子,1,1,83.21亿,1.37,23.18亿,22.42,639.30亿,10:16:27,5.43亿,2738.86万,计算机-计算机设备-其他计算机设备,1.800,19.82,18.39,13.38,4.32亿,-191.16,5.8485,639.35亿,1000001915,9.99,False
43,000833,粤桂股份,SZ,31.72,9.99,涨停,粤桂股份,首板,粤港澳大湾区、2026—季报预增、乡村振兴、西部大开发、昨日高振幅、化肥、TOPCON电池、最近多板、东方财富热股、2025三季报预增、农业种植、土地流转、央国企改革、百日新高 、磷化工、广东自贸区、2025年报预增、融资融券、深股通、近期新高、昨日首板、光伏概念、小盘股、历史新高 、锂电池概念、小盘成长,1,1,19.73亿,1.29,2.22亿,27.03,143.91亿,13:41:42,1.06亿,333.25万,综合-综合Ⅱ-综合Ⅲ,2.880,31.72,28.93,14.37,6518.42万,29.49,6.1224,254.42亿,1000000356,9.99,False
44,001218,丽臣实业,SZ,27.63,9.99,涨停,丽臣实业,首板,消毒剂、昨日首板、破发股、2025年报预增、最近多板,1,1,6907.20万,0.91,978.99万,14.65,32.62亿,09:25:00,4619.49万,167.19万,基础化工-化学制品-其他化学制品,2.510,27.63,27.63,2.12,249.99万,11.65,1.4852,35.97亿,1000717176,9.99,False
45,001268,联合精密,SZ,38.41,9.99,涨停,联合精密,首板,粤港澳大湾区、昨日高振幅、昨日首板、机器人概念、最近多板、成飞概念,1,1,1.77亿,1.19,2505.92万,1.86,25.90亿,13:50:00,1.02亿,264.54万,家用电器-家电零部件Ⅱ-家电零部件Ⅲ,3.490,38.41,34.92,7.08,477.17万,-591.36,4.0711,41.46亿,1002650676,9.99,False
46,002149,西部材料,SZ,63.51,9.99,涨停,西部材料,首板,专精特新、5G概念、海工装备、西部大开发、昨日高振幅、燃料电池概念、水利建设、参股新三板、柔性屏(折叠屏)、节能环保、最近多板、通信技术、东方财富热股、尾气治理、昨日高换手、电池技术、核能核电、央国企改革、通用航空、小金属概念、航母概念、钛合金、军工、航空发动机、融资融券、医疗器械概念、深股通、昨日首板、俄乌冲突概念、商业航天、小盘股、氢能源、超导概念、卫星导航、可控核聚变、金属钨、陕西国企改革、导弹、小盘成长、纳米银,1,1,46.84亿,0.94,10.04亿,-1.27,310.02亿,10:29:24,1.73亿,272.28万,有色金属-小金属-其他小金属,5.770,63.51,57.46,15.66,7642.53万,842.86,8.3272,310.06亿,1000006775,9.99,False
47,002240,盛新锂能,SZ,60.09,9.99,涨停,盛新锂能,首板,融资融券、西部大开发、昨日高振幅、深股通、近期新高、昨日首板、深圳特区、深成500、宁德时代概念、反内卷概念、小盘价值、最近多板、东方财富热股、小盘股、电池技术、固态电池、锂电池概念、比亚迪概念、盐湖提锂、百日新高 、小金属概念、股权激励、富时罗素、锂矿概念,1,1,52.39亿,1.54,5.71亿,29.78,548.57亿,09:55:12,1.56亿,260.37万,有色金属-能源金属-锂,5.460,60.09,55.26,9.74,8893.61万,29.63,5.1242,550.00亿,1000007629,9.99,False
