序号,代码,名称,市场代码简称,最新价(元) 2026.04.30,涨跌幅(%) 2026.04.30,概念,东财行业分类二级,涨停 2026.04.30,成交额(元) 2026.04.30,量比 2026.04.30,主力净额(元) 2026.04.30,区间涨跌幅(%) 2026.04.24 - 2026.04.30,东财行业总分类,申万行业分类,涨停首次封板时间 2026.04.30,涨停封单额(元) 2026.04.30,涨停封单量(股) 2026.04.30,首板 2026.04.30,涨跌额(元) 2026.04.30,最高价(元) 2026.04.30,最低价(元) 2026.04.30,换手率(%) 2026.04.30,成交量(股) 2026.04.30,市盈率(动)(倍) 2026.04.30,市净率(倍) 2026.04.30,总市值(元) 2026.04.30,流通市值(元) 2026.04.30,CHOICE_INNER_CODE,CHG<70>{2026-04-30},IN_OPTIONAL
13,600208,衢州发展,SH,4.55,9.90,国产芯片、中盘股、区块链、共同富裕示范区、煤炭概念、乡村振兴、参股期货、昨日高振幅、元宇宙概念、参股保险、标准普尔、最近多板、黄金开采、东方财富热股、创投、互联网金融、央国企改革、独角兽、富时罗素、黄金概念、中盘价值、融资融券、昨日首板、2025年报预减、上证380、中证500、沪股通、知识产权、参股券商、第四代半导体、Web3.0、数据确权、NFT概念、长江三角、参股银行,房地产开发,涨停,8.90亿,0.60,2.32亿,5.81,房地产-房地产开发-住宅开发,房地产-房地产开发-住宅开发,09:42:50,6617.82万,1454.47万,首板,0.410,4.55,4.21,2.33,1.99亿,30.78,0.9264,387.16亿,387.11亿,1000000443,9.90,False
14,000628,高新发展,SZ,66.18,10.01,国产芯片、PPP模式、西部大开发、参股期货、昨日高振幅、新能源车、深成500、工程建设、最近多板、东方财富热股、创投、成渝特区、央国企改革、百日新高 、2025年报预增、物联网、新型城镇化、数据要素、智慧政务、数字孪生、融资融券、深股通、近期新高、虚拟电厂、昨日首板、智慧城市、小盘股、微利股、汽车芯片、小盘成长,房屋建设Ⅱ,涨停,11.72亿,1.11,2.23亿,4.50,建筑装饰-房屋建设Ⅱ-房屋建设Ⅲ,建筑装饰-房屋建设Ⅱ-房屋建设Ⅲ,10:51:45,1.07亿,161.13万,首板,6.020,66.18,57.90,9.70,1864.74万,3256.25,10.6009,233.14亿,127.22亿,1000004186,10.01,False
15,000833,粤桂股份,SZ,31.72,9.99,粤港澳大湾区、2026—季报预增、乡村振兴、西部大开发、昨日高振幅、化肥、TOPCON电池、最近多板、东方财富热股、2025三季报预增、农业种植、土地流转、央国企改革、百日新高 、磷化工、广东自贸区、2025年报预增、融资融券、深股通、近期新高、昨日首板、光伏概念、小盘股、历史新高 、锂电池概念、小盘成长,综合Ⅱ,涨停,19.73亿,1.29,2.22亿,27.03,综合-综合Ⅱ-综合Ⅲ,综合-综合Ⅱ-综合Ⅲ,13:41:42,1.06亿,333.25万,首板,2.880,31.72,28.93,14.37,6518.42万,29.49,6.1224,254.42亿,143.91亿,1000000356,9.99,False
16,601106,中国一重,SH,4.54,9.93,镍矿、中盘股、工业母机、昨日高振幅、黑龙江自贸区、军民融合、最近多板、东方财富热股、核能核电、央国企改革、小金属概念、中字头、航母概念、破增发价股、军工、融资融券、昨日首板、中盘成长、破发股、中证500、商业航天、沪股通、金属镍、一带一路、微利股、高端装备、风能、特斯拉概念,专用设备,涨停,7.17亿,2.81,2.21亿,8.35,机械设备-专用设备-能源及重型设备,机械设备-专用设备-能源及重型设备,10:36:37,1.19亿,2625.26万,首板,0.410,4.54,4.08,2.40,1.65亿,4008.60,6.0277,311.34亿,311.34亿,1000007891,9.93,False
17,600158,中体产业,SH,11.85,10.03,彩票概念、首发经济、职业教育、融资融券、数字经济、昨日首板、体育产业、足球概念、沪股通、旅游概念、数据中心、最近多板、东方财富热股、冰雪经济、京津冀一体化、央国企改革、NFT概念、在线教育、中字头、文娱消费,体育Ⅱ,涨停,7.96亿,1.12,2.07亿,11.16,社会服务-体育Ⅱ-体育Ⅲ,社会服务-体育Ⅱ-体育Ⅲ,09:31:32,6859.44万,578.86万,首板,1.080,11.85,11.54,7.03,6743.93万,-495.84,4.7381,113.70亿,113.70亿,1000001299,10.03,False
18,002640,跨境通,SZ,3.65,9.94,内贸流通、数字经济、深股通、昨日首板、贬值受益、标准普尔、最近多板、东方财富热股、消费电子概念、电商概念、跨境电商、三胎概念、互联网金融、拼多多概念、奶粉、富时罗素、网红经济、婴童概念、无线耳机、破增发价股,互联网电商,涨停,2.57亿,1.87,1.77亿,9.28,商贸零售-互联网电商-跨境电商,商贸零售-互联网电商-跨境电商,09:30:00,9637.31万,2640.36万,首板,0.330,3.65,3.64,4.55,7048.10万,9.04,8.8307,56.87亿,56.51亿,1000008073,9.94,False
19,300885,海昌新材,SZ,28.64,19.98,中越经济一体化、专精特新、融资融券、低空经济、昨日高振幅、充电桩、深股通、近期新高、昨日首板、贬值受益、新能源车、商业航天、最近多板、东方财富热股、消费电子概念、新材料、卫星导航、人形机器人、一带一路、海峡两岸、创业板综、减速器、机器人概念、卫星互联网,通用设备,涨停,7.51亿,4.29,1.67亿,18.25,机械设备-通用设备-金属制品,机械设备-通用设备-金属制品,10:35:54,9503.70万,331.83万,首板,4.770,28.64,24.33,16.71,2790.98万,73.77,7.7692,71.07亿,47.83亿,1001861280,19.98,False
20,001270,*ST铖昌,SZ,140.35,5.00,军工、国产芯片、军工信息化、专精特新、6G概念、5G概念、共同富裕示范区、2025年报扭亏、昨日首板、卫星通信、第三代半导体、商业航天、氮化镓、最近多板、通信技术、军民融合、卫星导航、毫米波概念、卫星互联网,军工电子Ⅱ,涨停,7.98亿,0.82,1.67亿,-11.90,国防军工-军工电子Ⅱ-军工电子Ⅲ,国防军工-军工电子Ⅱ-军工电子Ⅲ,10:27:27,1.17亿,83.14万,首板,6.680,140.35,132.00,2.85,580.18万,161.70,18.5393,289.28亿,285.61亿,1002686345,5.00,False
21,000567,海德股份,SZ,6.67,10.07,东方财富热股、小盘股、电池技术、钒电池、互联网金融、融资融券、昨日高振幅、海南自贸、深股通、小盘成长、化债(AMC)概念、最近多板,多元金融,涨停,10.19亿,7.73,1.57亿,23.29,非银金融-多元金融-资产管理,非银金融-多元金融-资产管理,09:57:00,1302.04万,195.21万,-,0.610,6.67,6.19,8.01,1.56亿,7.76,2.1643,130.37亿,129.97亿,1000002365,10.07,False
22,002990,盛视科技,SZ,53.83,9.99,国产芯片、多模态AI、车联网(车路云)、鸿蒙概念、昨日高振幅、数字经济、深圳特区、存储芯片、AI智能体、华为概念、最近多板、信创、华为昇腾、DeepSeek概念、人工智能、无人驾驶、物联网、人脸识别、机器人概念、智慧政务、安防概念、医疗器械概念、深股通、昨日首板、AIGC概念、2025年报预减、智慧城市、核污染防治、网络安全、机器视觉、人形机器人、一带一路、语音技术、传感器、冷链物流、电子后视镜,计算机设备,涨停,6.24亿,0.59,1.56亿,9.43,计算机-计算机设备-其他计算机设备,计算机-计算机设备-其他计算机设备,09:34:03,4798.94万,89.15万,首板,4.890,53.83,48.50,8.54,1178.41万,925.03,5.6485,140.96亿,74.30亿,1001855425,9.99,False
23,600433,冠豪高新,SH,4.84,10.00,军工、彩票概念、融资融券、烟草、昨日高振幅、近期新高、沪股通、碳交易、最近多板、东方财富热股、氢能源、造纸印刷、央国企改革、百日新高 、降解塑料,造纸,涨停,8.12亿,1.12,1.55亿,23.47,轻工制造-造纸-特种纸,轻工制造-造纸-特种纸,09:57:04,4070.47万,841.01万,首板,0.440,4.84,4.33,9.82,1.72亿,11.76,1.9199,84.71亿,84.71亿,1000001718,10.00,False
24,000980,众泰汽车,SZ,2.52,10.04,汽车整车、融资融券、昨日高振幅、深股通、新能源车、破发股、低价股、标准普尔、最近多板、东方财富热股、小盘股、氢能源、一带一路、中俄贸易概念、百度概念、无人驾驶,汽车零部件,涨停,7.45亿,1.62,1.52亿,14.55,汽车-汽车零部件-汽车电子电气系统,汽车-汽车零部件-汽车电子电气系统,10:06:30,7597.88万,3015.03万,-,0.230,2.52,2.30,6.08,3.07亿,-38.74,388.6028,127.07亿,127.07亿,1000002454,10.04,False
25,002181,粤 传 媒,SZ,16.49,10.01,粤港澳大湾区、职业教育、昨日高振幅、数字经济、足球概念、短剧互动游戏、最近多板、粤港自贸、东方财富热股、创投、互联网金融、AI应用、央国企改革、百日新高 、广东自贸区、独角兽、人工智能、网红经济、智慧政务、彩票概念、融资融券、深股通、近期新高、AIGC概念、体育产业、旅游概念、参股券商、电商概念、虚拟数字人、谷子经济、文娱消费,出版,涨停,12.02亿,0.81,1.49亿,25.69,传媒-出版-大众出版,传媒-出版-大众出版,09:52:45,1.16亿,701.40万,首板,1.500,16.49,15.08,6.64,7531.94万,273.33,4.5025,191.46亿,187.09亿,1000002296,10.01,False
26,603178,圣龙股份,SH,19.46,10.01,飞行汽车(eVTOL)、融资融券、低空经济、共同富裕示范区、华为汽车、昨日高振幅、数字经济、昨日首板、新能源车、沪股通、最近多板、轮毂电机、长安汽车概念、东方财富热股、比亚迪概念、无人驾驶、汽车热管理、减速器、机器人概念,汽车零部件,涨停,4.58亿,0.75,1.42亿,1.99,汽车-汽车零部件-底盘与发动机系统,汽车-汽车零部件-底盘与发动机系统,09:56:53,4455.95万,228.98万,首板,1.770,19.46,17.40,10.26,2426.27万,60.93,4.0191,46.01亿,46.01亿,1000472468,10.01,False
27,603131,上海沪工,SH,22.52,10.01,军工、专精特新、工业母机、海工装备、昨日高振幅、昨日首板、贬值受益、新能源车、商业航天、沪股通、新型工业化、军民融合、最近多板、东方财富热股、卫星导航、一带一路、高端装备、长江三角、机器人概念、卫星互联网,通用设备,涨停,3.24亿,1.92,1.30亿,6.93,机械设备-通用设备-其他通用设备,机械设备-通用设备-其他通用设备,10:29:26,1.58亿,700.61万,首板,2.050,22.52,20.43,4.40,1483.14万,161.17,4.5950,75.87亿,75.87亿,1000316527,10.01,False
